cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
self-interaction,stability,aggregation,stability,increases,2,2,high,"...should show, amongst others, high affine target binding and beneficial conformational as well as chemical stability.",32898632;39818362
stability,stability,bioactivity,quality_outcome,requires,2,2,medium,"strategies to address their inherent challenges, such as stability, bioactivity, and clinical translation barriers.",33716725;40428099
domain,structure,stability,stability,increases,2,2,high,the Fc domain enhances the solubility and stability of the partner molecule.,34341175;37546919
polysorbate 80,formulation,aggregation,stability,decreases,2,2,high,"Elution buffer with mannitol, polysorbate 80, or MgCl resulted in a monomer control ratio of approximately twice that ob",39837187;40657989
formulation,formulation,apoptosis,stability,increases,2,2,high,increased apoptosis than similar doses of free trastuzumab.,38034948;39895032
A264C substitution,sequence,dimeric protein formation,structure,promotes,2,1,high,A264C substitution could promote formation of dimeric ZIKV envelope protein.,31138647
hydrogel formulation,formulation,stabilizing effects,stability,stabilizes,2,1,high,both alpha- and gamma-CyD PPRX hydrogel formulations provided high stabilizing effects,28089687
structural stability,stability,bioactivity,quality_outcome,increases,2,1,high,biophysical and biological studies were correlated in order to understand the importance of the modifications in bevaciz,28502677
mutations,sequence,conformational stability,stability,increases,2,2,high,had significantly improved conformational and colloidal stability,28057542;39028186
linker stability,formulation,efficacy,stability,increases,2,2,medium,"optimizing these components-improving antibody selectivity, enhancing linker stability",40854819;41596669
pH,stress,structural stability,stability,increases,2,1,high,"the conformational changes induced by pH were higher at extreme pH values (5, 9 and 10) than neutral pH.",28502677
formulation,formulation,disulfide stability,stability,stabilizes,2,1,high,"S-LC-SMPT-mediated Fab-RTA, sterically hindered, showed an enhanced disulfide bond stability in vitro.",10549572
dropping stress,stress,aggregation,stability,destabilizes,2,2,high,Dropping during shipping and handling of liquid biopharmaceutical formulations has long been known to cause protein degr,33049261;39722424
temperature,stress,physical stability,stability,modifies,2,2,high,the physical stability of these IgG1-Fc glycoproteins was examined as a function of pH and temperature.,24740840;26869421
pH,stress,physical stability,stability,modifies,2,2,high,the physical stability of these IgG1-Fc glycoproteins was examined as a function of pH and temperature.,24740840;26869421
VHH,sequence,stability,stability,increases,2,2,high,VHHs offer significant advantages for drug conjugation over conventional antibodies due to their smaller size and struct,26456330;39123409
pepstatin A,formulation,fragmentation,stability,inhibits,2,2,high,Significant inhibition of mAb-X fragmentation was observed with the addition of pepstatin A.,21404269;30836312
stress conditions,stress,aggregation,stability,promotes,2,2,high,"submitted it to different stress conditions: light, 60 degrees C, freeze-thaw cycles, changes in pH.",32060315;41363543
oxidation,stress,stability,stability,promotes,2,1,high,forced oxidation samples effectively simulated the oxidation progression of mAb An under subsequent storage conditions.,41544534
pH,formulation,short-range attractions,stability,destabilizes,2,2,high,Reducing the pH below the pI...weakens short-range anisotropic attractions.,31726055;41022695
GB1 domain,sequence,stability,structure,stabilizes,2,1,high,"the small size, stable fold, and high bacterial expression capability of the GB1 domain",9385638
FNI9,sequence,NA binding,structure,binds,2,1,high,FNI9 binds to 7 highly conserved H5N1 NA residues.,41771877
glycosylation,sequence,safety,quality_outcome,increases,2,2,high,Glycosylation is a critical quality attribute as it impacts safety.,32334683;38482428
pH,stress,lactone hydrolysis,stability,increases,2,1,high,lactone was completely hydrolyzed at pH 8.5 (25 degrees C) within 25min.,40795657
method validation,formulation,target profile,stability,stabilizes,2,2,medium,"This developed method fully meets the pre-defined analytical target profile (ATP), including specificity, accuracy, prec",36372921;38823148
sodium chloride,formulation,colloidal stability,stability,decreases,2,2,high,sodium chloride... decreased the colloidal stability due to charge screening of the repulsive interactions.,29423596;35081405
vascular stability,stability,treatment intervals,stability,increases,2,2,high,"faricimab enhances vascular stability, reduces leakage, and enables extended treatment intervals.",41095792;41164174
polysorbate,formulation,oxidation,stability,induces,2,1,high,autoxidation of polysorbate at stress temperatures,33035540
thermal stability,stability,structural integrity,stability,requires,2,2,high,That the structural integrity of MS-Hu6 in formulation was maintained was proven through Circular Dichroism (CD) and Fou,35944694;37214886
repulsive interactions,structure,colloidal stability,stability,stabilizes,2,2,high,net repulsive electrostatic interactions are important for the colloidal stability of the NISTmAb.,29423596;35108018
disulfide bridge,structure,stability,stability,stabilizes,2,2,high,...due to their remarkable stability as a consequence of the intramolecular disulfide bridge.,34369158;39889214
stability,stability,efficacy,quality_outcome,increases,2,2,medium,reliability of the immunosensor for evaluating the efficacy and stability of the vaccine.,39492542;40434212
fusion protein,sequence,half-life,stability,increases,2,2,high,"rFVIIIFc was molecularly engineered to increase the half-life of FVIII, by 1.5-2-fold.",23205847;29691064
freezing rate,stress,reconstitution time,stability,decreases,2,1,high,accelerated freezing rates had divergent effects on reconstitution: they shortened the reconstitution time.,41231914
lyophilization,formulation,stability,stability,stabilizes,2,2,medium,three candidate preparations of etanercept were lyophilized and evaluated.,28288790;31655034
ionic strength,formulation,thermal stability,stability,increases,2,2,high,demonstrated the greater stability of our immunoglobulin at higher pH and moderate ionic strength,25221926;31689429
heat denaturation,stress,cell adhesion activity,quality_outcome,decreases,2,1,high,It decreased gradually after heat denaturation of the protein above 65 degrees C.,7775432
MAM,formulation,characterization,stability,stabilizes,2,2,high,demonstrated the suitability of the MAM workflow for characterization of heavily glycosylated Fc-fusion proteins,36343663;41271848
faricimab,sequence,stability,stability,increases,2,2,high,"faricimab enhances vascular stability, reduces leakage, and enables extended treatment intervals.",41095792;41164174
N-linked glycosylation,sequence,stability,stability,stabilizes,2,2,high,C-terminal lysine clipping (>95%) and N-linked glycosylation (>99%) identified.,19915009;41380533
deamidation,sequence,charge variant,stability,increases,2,2,high,"lower abundance modifications, such as deamidation (3-7%) identified.",38796156;41380533
deamidation,sequence,stability,stability,destabilizes,2,2,high,"lower abundance modifications, such as deamidation (3-7%) identified.",33459147;41380533
Brij-58,formulation,protection ability,stability,increases,2,1,high,Brij-58 showed better protein protection ability in the mAb1 formulation under forced degradation conditions.,31811896
nucleation temperature,stress,batch inhomogeneity,stability,increases,2,1,high,The freezing step often causes batch inhomogeneity and issues during freeze drying process transfer.,39579940
fragmentation,stability,stability,stability,destabilizes,2,2,medium,the formation of aggregates and free chain fragments was characterized.,36449030;38518514
AL lambda chains,sequence,mutations,sequence,decreases,2,2,medium,AL-associated lambda light chains had fewer mutations.,39314448;39641756
AL kappa chains,sequence,mutations,sequence,increases,2,2,medium,AL-associated kappa light chains harboured significantly more mutations compared to multiple myeloma.,39314448;39641756
aggregation,stability,safety,quality_outcome,decreases,2,2,high,The presence of aggregates in biotherapeutic products undesirable.,23412563;34059716
disulfide bond,structure,thermostability,stability,increases,2,2,high,enhancing molecular thermostability,29097200;40981273
